id,query,gold_intents,pred_intents,gold_tools,pred_tools,gold_clarify,pred_clarify,gold_mode,pred_mode,expected_slots,predicted_slots,tags
S01,JTG D81—2017 对应急照明供电有什么要求？,['regulation_lookup'],['regulation_lookup'],['hybrid_search'],['hybrid_search'],False,False,single,single,{'regulation_code': 'JTG D81-2017'},"{'query': ['JTG D81—2017 中应急照明供电要求'], 'corpus': ['regulation'], 'filters': [{'regulation_code': 'JTG D81—2017'}], 'top_k': [10]}","['single', 'regulation', 'normalization']"
S02,查一下 A12风机现在的运行状态。,['equipment_status'],['equipment_status'],['nl2api_query'],['nl2api_query'],False,False,single,single,"{'asset_id': 'A12风机', 'time_range': '现在'}","{'domain': ['asset'], 'operation': ['get'], 'asset_id': ['A12风机']}","['single', 'equipment']"
S03,统计 A12风机最近3天告警次数。,['metric_query'],['metric_query'],['nl2api_query'],['nl2api_query'],False,False,single,single,"{'asset_id': 'A12风机', 'time_range': '最近3天', 'metric': '告警次数'}","{'domain': ['alarm'], 'operation': ['aggregate'], 'filters': [{'asset_id': 'A12风机'}], 'metrics': [['alarm_count']], 'time_range': [{'type': 'relative', 'value': '最近3天'}]}","['single', 'metric']"
S07,A12风机振动偏高，查一下状态并给处理建议。,"['equipment_status', 'fault_diagnosis']","['equipment_status', 'fault_diagnosis', 'regulation_lookup']",['nl2api_query'],"['hybrid_search', 'nl2api_query']",False,False,serial,parallel_then_synthesize,{'asset_id': 'A12风机'},"{'domain': ['asset'], 'operation': ['get'], 'asset_id': ['A12风机'], 'query': ['风机振动限值 检修规程'], 'corpus': ['regulation|manual'], 'equipment_type': ['风机'], 'top_k': [10]}","['diagnosis', 'single_tool_synthesis']"
S09,查一下 OPS-PSD-2025 中屏蔽门重复故障怎么处理。,"['fault_diagnosis', 'regulation_lookup']",['regulation_lookup'],['hybrid_search'],['hybrid_search'],False,False,serial,single,{},"{'query': ['屏蔽门重复故障 处理'], 'corpus': ['regulation'], 'filters': [{'regulation_code': 'OPS-PSD-2025', 'equipment_type': '屏蔽门'}], 'top_k': [10]}","['regulation', 'diagnosis']"
M02,查 A12风机现在状态，同时打开 FAN-A12-01 接线图。,"['drawing_lookup', 'equipment_status']","['drawing_lookup', 'equipment_status']","['drawing_search', 'nl2api_query']","['drawing_search', 'nl2api_query']",False,False,parallel,parallel,"{'asset_id': 'A12风机', 'time_range': '现在', 'drawing_no': 'FAN-A12-01'}","{'domain': ['asset'], 'operation': ['get'], 'asset_id': ['A12风机'], 'drawing_no': ['FAN-A12-01'], 'keywords': [['接线图']]}","['multi_intent', 'parallel']"
M03,查询 B07屏蔽门最近7天工单，并检索重复故障处理规范。,"['regulation_lookup', 'work_order_query']","['regulation_lookup', 'work_order_query']","['hybrid_search', 'nl2api_query']","['hybrid_search', 'nl2api_query']",False,False,parallel,parallel_then_synthesize,"{'asset_id': 'B07屏蔽门', 'time_range': '最近7天'}","{'domain': ['work_order'], 'operation': ['list'], 'asset_id': ['B07屏蔽门'], 'time_range': [{'type': 'relative', 'value': '最近7天'}], 'query': ['重复故障处理规范'], 'corpus': ['regulation'], 'filters': [{'equipment_type': '屏蔽门'}], 'top_k': [10]}","['multi_intent', 'parallel']"
M05,查天河站 A12风机当前温度，再查风机温度异常的检修要求。,"['equipment_status', 'regulation_lookup']","['equipment_status', 'regulation_lookup']","['hybrid_search', 'nl2api_query']","['hybrid_search', 'nl2api_query']",False,False,parallel,parallel_then_synthesize,{'asset_id': 'A12风机'},"{'domain': ['asset'], 'operation': ['get'], 'station': ['天河站'], 'asset_id': ['A12风机'], 'metrics': [['temperature']], 'query': ['风机温度异常的检修要求'], 'corpus': ['manual'], 'filters': [{'equipment_type': '风机'}], 'top_k': [10]}","['multi_intent', 'parallel']"
M12,对比 A12风机和 2号水泵最近3天告警次数，并给出异常设备。,"['fault_diagnosis', 'metric_query']","['fault_diagnosis', 'metric_query']",['nl2api_query'],['nl2api_query'],False,False,serial,parallel_then_synthesize,"{'asset_id': ['A12风机', '2号水泵'], 'time_range': '最近3天'}","{'domain': ['alarm', 'alarm'], 'operation': ['aggregate', 'aggregate'], 'filters': [{'asset_id': 'A12风机'}, {'asset_id': '2号水泵'}], 'metrics': [['alarm_count'], ['alarm_count']], 'time_range': [{'type': 'relative', 'value': '最近3天'}, {'type': 'relative', 'value': '最近3天'}]}","['multi_entity', 'diagnosis']"
M13,查询 A12风机昨天和今天告警次数分别是多少。,['metric_query'],['metric_query'],['nl2api_query'],['nl2api_query'],False,False,single,single,"{'asset_id': 'A12风机', 'time_range': ['昨天', '今天']}","{'domain': ['alarm'], 'operation': ['aggregate'], 'filters': [{'asset_id': 'A12风机'}], 'metrics': [['alarm_count']], 'group_by': [['date']], 'time_range': [{'type': 'absolute', 'value': '昨天至今天'}]}","['multi_time', 'metric']"
C01,先查 A12风机最近3天振动值，如果超过4.5mm/s再查检修规范。,"['equipment_status', 'regulation_lookup']","['metric_query', 'regulation_lookup']","['hybrid_search', 'nl2api_query']","['hybrid_search', 'nl2api_query']",False,False,conditional,conditional,"{'asset_id': 'A12风机', 'time_range': '最近3天', 'threshold': '4.5mm/s'}","{'domain': ['metric'], 'operation': ['trend'], 'asset_id': ['A12风机'], 'metrics': [['vibration']], 'time_range': [{'type': 'relative', 'value': '最近3天'}], 'query': ['风机 振动 超过 4.5mm/s 检修规范'], 'corpus': ['regulation'], 'filters': [{'equipment_type': '风机'}], 'top_k': [10]}","['conditional', 'serial']"
C02,若 B07屏蔽门今天告警超过3次，就查询重复故障规范并给处理建议。,"['fault_diagnosis', 'metric_query', 'regulation_lookup']","['fault_diagnosis', 'metric_query', 'regulation_lookup']","['hybrid_search', 'nl2api_query']","['hybrid_search', 'nl2api_query']",False,False,conditional,conditional,"{'asset_id': 'B07屏蔽门', 'time_range': '今天', 'threshold': '3'}","{'domain': ['alarm'], 'operation': ['aggregate'], 'asset_id': ['B07屏蔽门'], 'metrics': [['alarm_count']], 'time_range': [{'type': 'relative', 'value': '今天'}], 'query': ['屏蔽门重复故障处理规范'], 'corpus': ['regulation'], 'filters': [{'equipment_type': '屏蔽门'}], 'top_k': [10]}","['conditional', 'diagnosis']"
C03,当 2号水泵当前状态为停机时，再查询最近7天工单。,"['equipment_status', 'work_order_query']","['equipment_status', 'work_order_query']",['nl2api_query'],['nl2api_query'],False,False,conditional,conditional,"{'asset_id': '2号水泵', 'time_range': '当前'}","{'domain': ['asset', 'work_order'], 'operation': ['get', 'list'], 'asset_id': ['2号水泵', '2号水泵'], 'time_range': [{'type': 'relative', 'value': '最近7天'}]}","['conditional', 'same_tool']"
C04,如果 A12风机温度高于65C，则查温度异常处置规范，否则只返回当前温度。,"['equipment_status', 'regulation_lookup']","['equipment_status', 'regulation_lookup']","['hybrid_search', 'nl2api_query']","['hybrid_search', 'nl2api_query']",False,False,conditional,conditional,"{'asset_id': 'A12风机', 'threshold': '65C'}","{'domain': ['metric'], 'operation': ['get'], 'asset_id': ['A12风机'], 'metrics': [['temperature']], 'query': ['风机温度异常处置规范'], 'corpus': ['regulation'], 'filters': [{'equipment_type': '风机'}], 'top_k': [10]}",['conditional']
Q01,查一下它最近报警几次，顺便看看规范要求。,"['metric_query', 'regulation_lookup']",[],"['hybrid_search', 'nl2api_query']",[],True,True,clarify,clarify,{},{},"['clarification', 'pronoun', 'multi_intent']"
Q02,查一下这个设备的工单。,['work_order_query'],[],['nl2api_query'],[],True,True,clarify,clarify,{},{},"['clarification', 'pronoun']"
Q03,查图纸。,['drawing_lookup'],[],['drawing_search'],[],True,True,clarify,clarify,{},{},"['clarification', 'drawing']"
Q04,A12风机报警多少次？,['metric_query'],[],['nl2api_query'],[],True,True,clarify,clarify,{'asset_id': 'A12风机'},{},"['clarification', 'missing_time']"
Q05,最近告警次数是多少？,['metric_query'],[],['nl2api_query'],[],True,True,clarify,clarify,{},{},"['clarification', 'missing_asset']"
Q07,看看这个图纸里的控制柜编号。,['drawing_lookup'],[],['drawing_search'],[],True,True,clarify,clarify,{},{},"['clarification', 'drawing', 'pronoun']"
N05,查询天河站风机温度和电流。,['equipment_status'],['equipment_status'],['nl2api_query'],['nl2api_query'],False,False,single,single,{'asset_id': '天河站风机'},"{'domain': ['asset'], 'operation': ['get'], 'station': ['天河站'], 'equipment_type': ['风机'], 'metrics': [['temperature', 'current']]}","['negative_split', 'equipment']"
U05,A12。,['general_qa'],[],[],[],False,True,none,clarify,{},{},"['ambiguous', 'general']"
