id,query,gold_intents,pred_intents,gold_tools,pred_tools,gold_clarify,pred_clarify,gold_mode,pred_mode,expected_slots,predicted_slots,tags
B01,不要查规范，只查询 A12风机现在状态。,['equipment_status'],['equipment_status'],['nl2api_query'],['nl2api_query'],False,False,single,single,"{'asset_id': 'A12风机', 'time_range': '现在'}","{'domain': ['asset'], 'operation': ['get'], 'asset_id': ['A12风机']}","['adversarial', 'negation_scope']"
B03,查询 A12风机最近3天，也就是2026-08-01至2026-08-02的告警次数。,['metric_query'],[],['nl2api_query'],[],True,True,clarify,clarify,{'asset_id': 'A12风机'},{},"['adversarial', 'time_conflict']"
B06,查询 A12风机告警次数，但不要访问设备数据库。,['unsupported'],[],[],[],False,True,none,clarify,{},{},"['adversarial', 'tool_prohibition']"
B11,JTG D81–2017对应急照明有什么要求？,['regulation_lookup'],['regulation_lookup'],['hybrid_search'],['hybrid_search'],False,False,single,single,{'regulation_code': 'JTG D81-2017'},"{'query': ['JTG D81–2017 应急照明 要求'], 'corpus': ['regulation'], 'filters': [{'regulation_code': 'JTG D81–2017'}], 'top_k': [10]}","['adversarial', 'normalization', 'dash_variant']"
B16,TB10621—2014对轨道扣件间距有什么规定,['regulation_lookup'],['regulation_lookup'],['hybrid_search'],['hybrid_search'],False,False,single,single,{'regulation_code': 'TB 10621-2014'},"{'query': ['TB10621—2014 轨道扣件间距规定'], 'corpus': ['regulation'], 'filters': [{'regulation_code': 'TB10621—2014'}], 'top_k': [10]}","['adversarial', 'normalization', 'dash_variant']"
B26,查规范里“告警”这个词都出现在哪几条。,['regulation_lookup'],[],['hybrid_search'],[],False,True,single,clarify,{},{},"['adversarial', 'quoted_text', 'keyword_collision']"
B27,帮我看下图纸里“接线图”这个标题下面写了什么。,['drawing_lookup'],[],['drawing_search'],[],False,True,single,clarify,{},{},"['adversarial', 'quoted_text', 'keyword_collision']"
B28,‘现在状态’这四个字在系统里对应哪个字段？,['general_qa'],[],[],[],False,True,none,clarify,{},{},"['adversarial', 'quoted_text']"
B35,昌岗站 5号扶梯最近一周工单记录。,['work_order_query'],['work_order_query'],['nl2api_query'],['nl2api_query'],False,False,single,single,"{'asset_id': '5号扶梯', 'time_range': '最近1周'}","{'domain': ['work_order'], 'operation': ['list'], 'station': ['昌岗站'], 'asset_id': ['5号扶梯'], 'time_range': [{'type': 'relative', 'value': '最近7天'}]}","['adversarial', 'unlisted_station']"
B37,查一下沙园站的通风设备状态,['equipment_status'],['equipment_status'],['nl2api_query'],['nl2api_query'],True,False,clarify,single,{},"{'domain': ['asset'], 'operation': ['list'], 'station': ['沙园站'], 'equipment_type': ['通风设备']}","['adversarial', 'unlisted_station', 'ambiguous_equipment_type']"
B39,别连接设备数据库，只告诉我 A12风机的规范要求。,['regulation_lookup'],['regulation_lookup'],['hybrid_search'],['hybrid_search'],False,False,single,single,{'asset_id': 'A12风机'},"{'query': ['A12风机的规范要求'], 'corpus': ['regulation'], 'equipment_type': ['风机'], 'top_k': [10]}","['adversarial', 'tool_prohibition', 'no_conflict']"
B40,禁止接入设备接口，查一下 A12风机最近3天告警次数。,['unsupported'],['metric_query'],[],['nl2api_query'],False,False,none,single,{},"{'domain': ['alarm'], 'operation': ['aggregate'], 'filters': [{'asset_id': 'A12风机'}], 'metrics': [['alarm_count']], 'time_range': [{'type': 'relative', 'value': '最近3天'}]}","['adversarial', 'tool_prohibition', 'phrasing_variant']"
B41,不能查内部系统，统计 2号水泵故障次数。,['unsupported'],['unsupported'],[],[],False,False,none,single,{},{},"['adversarial', 'tool_prohibition', 'phrasing_variant']"
B42,麻烦不要访问后台数据库，看看 B07屏蔽门工单历史。,['unsupported'],['work_order_query'],[],['nl2api_query'],False,False,none,single,{},"{'domain': ['work_order'], 'operation': ['list'], 'asset_id': ['B07屏蔽门']}","['adversarial', 'tool_prohibition', 'phrasing_variant']"
B44,不许联网查询，只说说JTG D81-2017里怎么写的。,['regulation_lookup'],['general_qa'],['hybrid_search'],[],False,False,single,single,{'regulation_code': 'JTG D81-2017'},{},"['adversarial', 'tool_prohibition', 'no_conflict']"
B46,别用工单系统，查一下A12风机最近处理记录。,['unsupported'],[],[],[],False,True,none,clarify,{},{},"['adversarial', 'tool_prohibition', 'phrasing_variant']"
B53,查一下那个设备最近的工单和规范要求。,"['regulation_lookup', 'work_order_query']",[],"['hybrid_search', 'nl2api_query']",[],True,True,clarify,clarify,{},{},"['adversarial', 'clarify_retention', 'pronoun']"
B54,帮我查一下它这周异常几次，并且看看有没有相关规范。,"['metric_query', 'regulation_lookup']",[],"['hybrid_search', 'nl2api_query']",[],True,True,clarify,clarify,{},{},"['adversarial', 'clarify_retention', 'pronoun']"
B55,统计一下告警次数。,['metric_query'],[],['nl2api_query'],[],True,True,clarify,clarify,{},{},"['adversarial', 'clarify_retention', 'missing_asset_and_time']"
B56,查一下检修规范和那台设备的工单，顺便给个建议。,"['fault_diagnosis', 'regulation_lookup', 'work_order_query']",[],"['hybrid_search', 'nl2api_query']",[],True,True,clarify,clarify,{},{},"['adversarial', 'clarify_retention', 'pronoun']"
B57,这台设备最近状态怎么样，需不需要停机。,"['equipment_status', 'fault_diagnosis']",[],['nl2api_query'],[],True,True,clarify,clarify,{},{},"['adversarial', 'clarify_retention', 'pronoun']"
B59,查A12风机最近2小时和昨天同一时段的振动值对比。,['metric_query'],['metric_query'],['nl2api_query'],['nl2api_query'],False,False,single,parallel,{'asset_id': 'A12风机'},"{'domain': ['metric', 'metric'], 'operation': ['list', 'list'], 'asset_id': ['A12风机', 'A12风机'], 'metrics': [['vibration'], ['vibration']], 'time_range': [{'type': 'relative', 'value': '最近2小时'}, {'type': 'absolute', 'value': '昨天同一2小时时段'}]}","['adversarial', 'multi_time']"
B66,查 2号水泵最近一周的停机时长。,['metric_query'],['metric_query'],['nl2api_query'],['nl2api_query'],False,False,single,single,"{'asset_id': '2号水泵', 'time_range': '最近1周'}","{'domain': ['metric'], 'operation': ['aggregate'], 'asset_id': ['2号水泵'], 'metrics': [['downtime_duration']], 'time_range': [{'type': 'relative', 'value': '最近7天'}]}","['adversarial', 'novel_metric_word']"
B67,A12风机最近有没有出现异响预警。,['equipment_status'],['equipment_status'],['nl2api_query'],['nl2api_query'],False,True,single,clarify,{'asset_id': 'A12风机'},"{'domain': ['alarm'], 'operation': ['list'], 'asset_id': ['A12风机'], 'filters': [{'keywords': ['异响']}], 'time_range': [None]}","['adversarial', 'novel_status_word']"
B68,查 B07屏蔽门达标率是多少。,['metric_query'],['metric_query'],['nl2api_query'],['nl2api_query'],False,True,single,clarify,{'asset_id': 'B07屏蔽门'},"{'domain': ['metric'], 'operation': ['get'], 'asset_id': ['B07屏蔽门'], 'metrics': [['compliance_rate']]}","['adversarial', 'novel_metric_word']"
B70,A12风机振动值超过4.5mm/s就查检修规范。,"['metric_query', 'regulation_lookup']","['equipment_status', 'regulation_lookup']","['hybrid_search', 'nl2api_query']","['hybrid_search', 'nl2api_query']",False,False,conditional,conditional,"{'asset_id': 'A12风机', 'threshold': '4.5mm/s'}","{'domain': ['metric'], 'operation': ['get'], 'asset_id': ['A12风机'], 'metrics': [['vibration']], 'query': ['风机振动值超过4.5mm/s的检修要求'], 'corpus': ['regulation'], 'equipment_type': ['风机'], 'top_k': [10]}","['adversarial', 'conditional_phrasing']"
B71,B07屏蔽门告警次数达到5次时，立即给处理建议。,"['fault_diagnosis', 'metric_query']","['fault_diagnosis', 'metric_query', 'regulation_lookup']",['nl2api_query'],"['hybrid_search', 'nl2api_query']",False,False,conditional,conditional,"{'asset_id': 'B07屏蔽门', 'threshold': '5'}","{'domain': ['alarm'], 'operation': ['aggregate'], 'asset_id': ['B07屏蔽门'], 'metrics': [['alarm_count']], 'time_range': [{'type': 'relative', 'value': '最近7天'}], 'query': ['屏蔽门 告警次数 5次 处理措施 检修规程'], 'corpus': ['regulation|manual'], 'filters': [{'equipment_type': '屏蔽门'}], 'top_k': [10]}","['adversarial', 'conditional_phrasing']"
B73,先看A12风机温度，超过65度换成查检修规范，没超过就不用管。,"['equipment_status', 'regulation_lookup']","['equipment_status', 'regulation_lookup']","['hybrid_search', 'nl2api_query']","['hybrid_search', 'nl2api_query']",False,False,conditional,conditional,"{'asset_id': 'A12风机', 'threshold': '65'}","{'domain': ['asset'], 'operation': ['get'], 'asset_id': ['A12风机'], 'metrics': [['temperature']], 'query': ['A12风机检修规范'], 'corpus': ['manual'], 'equipment_type': ['风机'], 'top_k': [10]}","['adversarial', 'conditional_phrasing']"
